company,website,category,trigger,contact_email,linkedin_url,source_url,priority,status,notes
AgentOps,https://www.agentops.ai,AI agents,Agent observability for production AI agents and multi-agent workflows,,https://www.linkedin.com/company/agentops-ai,https://www.agentops.ai,5,new,Find company/team inbox or use contact form
Braintrust,https://www.braintrust.dev,LLM observability,LLM evals observability tracing and cost/quality workflows,,https://www.linkedin.com/company/braintrustdata,https://www.braintrust.dev,5,new,Use contact sales or founder LinkedIn
Galileo,https://www.galileo.ai,LLM observability,AI evals observability and production quality workflows,,https://www.linkedin.com/company/rungalileo,https://www.galileo.ai,5,new,Use demo/contact route
LangSmith,https://www.langchain.com/langsmith,LLM observability,Agent observability evaluation and deployment workflows,,https://www.linkedin.com/company/langchain,https://www.langchain.com/langsmith,5,new,Approach as cost attribution audit not replacement
CrewAI,https://www.crewai.com,AI agents,Multi-agent workflow platform with enterprise agent usage,,https://www.linkedin.com/company/crewai,https://www.crewai.com,5,new,Agent workflow cost angle
Relevance AI,https://relevanceai.com,AI agents,Enterprise AI agents and GTM automation workflows,,https://www.linkedin.com/company/relevanceai,https://relevanceai.com,5,new,Workflow/customer cost angle
Dify,https://dify.ai,AI agents,Agentic workflow and LLM app builder with multi-model usage,,https://www.linkedin.com/company/difyai,https://dify.ai,4,new,Use community/contact route
VectorShift,https://vectorshift.ai,AI agents,AI workflow automation across models and customer workflows,,https://www.linkedin.com/company/vectorshift-ai,https://vectorshift.ai,4,new,Use demo/contact route
Decagon,https://decagon.ai,customer-support AI,Customer-facing AI agents across support workflows,,https://www.linkedin.com/company/decagon-ai,https://decagon.ai,5,new,Support workflow unit economics
Sierra,https://sierra.ai,customer-support AI,Customer service AI agents across channels and workflows,,https://www.linkedin.com/company/sierra-ai,https://sierra.ai,5,new,Customer/channel cost attribution
